Starting Training Phase for Epoch 1/5
Epoch 1, Batch 5, Game ID: None, MSE Loss: 167.9534, Percentage Loss: 8.74%, Actual Scores: [91.0, 98.0], Predicted Scores: [99.06991577148438, 95.84825134277344]
Epoch 1, Batch 5, Game ID: None, MSE Loss: 167.9534, Percentage Loss: 8.74%, Actual Scores: [125.0, 88.0], Predicted Scores: [95.97513580322266, 90.45036315917969]
Epoch 1, Batch 5, Game ID: None, MSE Loss: 167.9534, Percentage Loss: 8.74%, Actual Scores: [89.0, 102.0], Predicted Scores: [103.93302154541016, 93.9063949584961]
Epoch 1, Batch 5, Game ID: None, MSE Loss: 167.9534, Percentage Loss: 8.74%, Actual Scores: [125.0, 124.0], Predicted Scores: [94.51410675048828, 86.11270141601562]
Epoch 1, Batch 5, Game ID: None, MSE Loss: 167.9534, Percentage Loss: 8.74%, Actual Scores: [97.0, 102.0], Predicted Scores: [103.19905090332031, 102.78565979003906]
Epoch 1, Batch 5, Game ID: None, MSE Loss: 167.9534, Percentage Loss: 8.74%, Actual Scores: [94.0, 96.0], Predicted Scores: [100.04890441894531, 95.1571273803711]
Epoch 1, Batch 5, Game ID: None, MSE Loss: 167.9534, Percentage Loss: 8.74%, Actual Scores: [103.0, 96.0], Predicted Scores: [97.52407836914062, 91.95339965820312]
Epoch 1, Batch 5, Game ID: None, MSE Loss: 167.9534, Percentage Loss: 8.74%, Actual Scores: [109.0, 91.0], Predicted Scores: [104.90685272216797, 95.85200500488281]
Epoch 1, Batch 6, Game ID: None, MSE Loss: 201.0100, Percentage Loss: 11.95%, Actual Scores: [78.0, 66.0], Predicted Scores: [92.53778839111328, 96.35103607177734]
Epoch 1, Batch 6, Game ID: None, MSE Loss: 201.0100, Percentage Loss: 11.95%, Actual Scores: [95.0, 91.0], Predicted Scores: [102.6509017944336, 100.2551040649414]
Epoch 1, Batch 6, Game ID: None, MSE Loss: 201.0100, Percentage Loss: 11.95%, Actual Scores: [113.0, 106.0], Predicted Scores: [106.60301208496094, 98.97750091552734]
Epoch 1, Batch 6, Game ID: None, MSE Loss: 201.0100, Percentage Loss: 11.95%, Actual Scores: [99.0, 83.0], Predicted Scores: [95.10740661621094, 98.42474365234375]
Epoch 1, Batch 6, Game ID: None, MSE Loss: 201.0100, Percentage Loss: 11.95%, Actual Scores: [69.0, 92.0], Predicted Scores: [103.10877990722656, 93.49617004394531]
Epoch 1, Batch 6, Game ID: None, MSE Loss: 201.0100, Percentage Loss: 11.95%, Actual Scores: [98.0, 104.0], Predicted Scores: [93.32662200927734, 93.46050262451172]
Epoch 1, Batch 6, Game ID: None, MSE Loss: 201.0100, Percentage Loss: 11.95%, Actual Scores: [105.0, 112.0], Predicted Scores: [104.16804504394531, 96.0082015991211]
Epoch 1, Batch 6, Game ID: None, MSE Loss: 201.0100, Percentage Loss: 11.95%, Actual Scores: [113.0, 107.0], Predicted Scores: [99.17487335205078, 95.62129211425781]
Epoch 1, Batch 6, Game ID: None, MSE Loss: 201.0100, Percentage Loss: 11.95%, Actual Scores: [88.0, 90.0], Predicted Scores: [97.37782287597656, 88.19935607910156]
Epoch 1, Batch 6, Game ID: None, MSE Loss: 201.0100, Percentage Loss: 11.95%, Actual Scores: [105.0, 101.0], Predicted Scores: [97.86772918701172, 97.19873809814453]
Epoch 1, Batch 6, Game ID: None, MSE Loss: 201.0100, Percentage Loss: 11.95%, Actual Scores: [122.0, 116.0], Predicted Scores: [93.69535827636719, 93.07799530029297]
Epoch 1, Batch 6, Game ID: None, MSE Loss: 201.0100, Percentage Loss: 11.95%, Actual Scores: [73.0, 92.0], Predicted Scores: [99.77668762207031, 94.86907958984375]
Epoch 1, Batch 6, Game ID: None, MSE Loss: 201.0100, Percentage Loss: 11.95%, Actual Scores: [95.0, 98.0], Predicted Scores: [100.40047454833984, 100.50149536132812]
Epoch 1, Batch 6, Game ID: None, MSE Loss: 201.0100, Percentage Loss: 11.95%, Actual Scores: [111.0, 94.0], Predicted Scores: [94.81575012207031, 89.75666046142578]
Epoch 1, Batch 6, Game ID: None, MSE Loss: 201.0100, Percentage Loss: 11.95%, Actual Scores: [102.0, 115.0], Predicted Scores: [101.4795150756836, 96.3980941772461]
Epoch 1, Batch 6, Game ID: None, MSE Loss: 201.0100, Percentage Loss: 11.95%, Actual Scores: [106.0, 98.0], Predicted Scores: [99.07402801513672, 93.67024993896484]
Epoch 1, Batch 7, Game ID: None, MSE Loss: 166.7137, Percentage Loss: 10.36%, Actual Scores: [96.0, 85.0], Predicted Scores: [93.36483764648438, 97.63526916503906]
Epoch 1, Batch 7, Game ID: None, MSE Loss: 166.7137, Percentage Loss: 10.36%, Actual Scores: [105.0, 104.0], Predicted Scores: [104.88629913330078, 101.68228149414062]
Epoch 1, Batch 7, Game ID: None, MSE Loss: 166.7137, Percentage Loss: 10.36%, Actual Scores: [108.0, 97.0], Predicted Scores: [94.53175354003906, 91.38614654541016]
Epoch 1, Batch 7, Game ID: None, MSE Loss: 166.7137, Percentage Loss: 10.36%, Actual Scores: [104.0, 86.0], Predicted Scores: [95.55086517333984, 99.36680603027344]
Epoch 1, Batch 7, Game ID: None, MSE Loss: 166.7137, Percentage Loss: 10.36%, Actual Scores: [114.0, 106.0], Predicted Scores: [100.61016082763672, 97.82300567626953]
